add device 1: /dev/input/event4
  name:     "grip_sensor_wifi"
add device 2: /dev/input/event0
  name:     "meta_event"
add device 3: /dev/input/event5
  name:     "Exynos9610-Audio Headset Jack"
add device 4: /dev/input/event3
  name:     "grip_sensor"
add device 5: /dev/input/event8
  name:     "wacom_hall"
add device 6: /dev/input/event7
  name:     "hall"
add device 7: /dev/input/event1
  name:     "sec_touchscreen"
add device 8: /dev/input/event6
  name:     "gpio_keys"
add device 9: /dev/input/event2
  name:     "sec_e-pen"
[   32978.132381] /dev/input/event1: EV_ABS       ABS_MT_TRACKING_ID   000010c9            
[   32978.132381] /dev/input/event1: EV_KEY       BTN_TOUCH            DOWN                
[   32978.132381] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.140290] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000001c            
[   32978.140290] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000001c            
[   32978.140290] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000001c            
[   32978.140290] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.148605] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000027            
[   32978.148605] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000027            
[   32978.148605] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000027            
[   32978.148605] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.156974] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000031            
[   32978.156974] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000031            
[   32978.156974] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000031            
[   32978.156974] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.165228] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000039            
[   32978.165228] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000039            
[   32978.165228] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000039            
[   32978.165228] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.173541] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[   32978.173541] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000040            
[   32978.173541] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000040            
[   32978.173541] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000209            
[   32978.173541] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.181891] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000047            
[   32978.181891] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000047            
[   32978.181891] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000047            
[   32978.181891] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000020b            
[   32978.181891] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.190329] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000004d            
[   32978.190329] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000004d            
[   32978.190329] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000004d            
[   32978.190329] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000020d            
[   32978.190329] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.198517] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000052            
[   32978.198517] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000052            
[   32978.198517] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000052            
[   32978.198517] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000212            
[   32978.198517] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.206814] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000056            
[   32978.206814] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000056            
[   32978.206814] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000056            
[   32978.206814] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000021b            
[   32978.206814] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007c9            
[   32978.206814] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.215155] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000005a            
[   32978.215155] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000005a            
[   32978.215155] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000005a            
[   32978.215155] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000225            
[   32978.215155] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.223501] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000005d            
[   32978.223501] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000005d            
[   32978.223501] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000005d            
[   32978.223501] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000233            
[   32978.223501] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.231804] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[   32978.231804] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000060            
[   32978.231804] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000060            
[   32978.231804] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000243            
[   32978.231804] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.240125] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000063            
[   32978.240125] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000063            
[   32978.240125] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000063            
[   32978.240125] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000254            
[   32978.240125] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.248492] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000065            
[   32978.248492] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000065            
[   32978.248492] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000065            
[   32978.248492] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000266            
[   32978.248492] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.256748] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000067            
[   32978.256748] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000067            
[   32978.256748] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000067            
[   32978.256748] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000279            
[   32978.256748] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.265068] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000069            
[   32978.265068] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000069            
[   32978.265068] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000069            
[   32978.265068] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000290            
[   32978.265068] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.273403] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006a            
[   32978.273403] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006a            
[   32978.273403] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006a            
[   32978.273403] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002a7            
[   32978.273403] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.281774] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006b            
[   32978.281774] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006b            
[   32978.281774] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006b            
[   32978.281774] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002be            
[   32978.281774] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.290029] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006c            
[   32978.290029] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006c            
[   32978.290029] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006c            
[   32978.290029] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002d5            
[   32978.290029] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.298396] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006d            
[   32978.298396] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006d            
[   32978.298396] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006d            
[   32978.298396] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002ec            
[   32978.298396] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.306764] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006e            
[   32978.306764] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006e            
[   32978.306764] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006e            
[   32978.306764] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000302            
[   32978.306764] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007cf            
[   32978.306764] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.315000] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006f            
[   32978.315000] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006f            
[   32978.315000] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006f            
[   32978.315000] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000318            
[   32978.315000] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.323331] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000070            
